,nmf__alpha,nmf__n_components,nmf__solver,rf__max_depth,rf__max_features,rf__min_samples_split,rf__n_estimators,rf__random_state
0.2673296139190398,2,6,cd,5,0.3,2,50,6
0.26734497940664637,2,6,cd,5,0.3,2,50,9
0.2666397179863451,2,6,cd,5,0.3,2,50,14
0.2676825130638311,2,6,cd,5,0.3,2,50,17
0.2683653887607032,2,6,cd,5,0.3,2,50,24
0.26520551914844087,2,6,cd,5,0.3,2,50,25
0.2611042473452577,2,6,cd,5,0.3,2,50,35
0.2650003895288933,2,6,cd,5,0.3,2,50,49
0.26913904057574306,2,6,cd,5,0.3,3,30,6
0.26325361962791766,2,6,cd,5,0.3,3,30,7
0.2644901485021465,2,6,cd,5,0.3,3,30,9
0.26985981601496345,2,6,cd,5,0.3,3,30,10
0.26883740339006146,2,6,cd,5,0.3,3,30,14
0.269960449398696,2,6,cd,5,0.3,3,30,15
0.2684416521406689,2,6,cd,5,0.3,3,30,17
0.26586400497863494,2,6,cd,5,0.3,3,30,21
0.2658292938608536,2,6,cd,5,0.3,3,30,24
0.2682965022618034,2,6,cd,5,0.3,3,30,25
0.26721525316136874,2,6,cd,5,0.3,3,30,26
0.267223022655217,2,6,cd,5,0.3,3,30,32
0.2597239301213449,2,6,cd,5,0.3,3,30,33
0.26957445479706704,2,6,cd,5,0.3,3,30,42
0.26494295101554316,2,6,cd,5,0.3,3,30,43
0.26364520949555076,2,6,cd,5,0.3,3,30,44
0.26332562182100866,2,6,cd,5,0.3,3,30,46
0.26673459044822406,2,6,cd,5,0.3,3,30,48
0.2693470907030204,2,6,cd,5,0.3,3,30,49
0.2665118350230847,2,6,cd,5,0.3,3,50,2
0.2680549989753747,2,6,cd,5,0.3,3,50,7
0.2655591760972569,2,6,cd,5,0.3,3,50,9
0.26708889608367303,2,6,cd,5,0.3,3,50,10
0.26949294902103116,2,6,cd,5,0.3,3,50,13
0.2653525913860084,2,6,cd,5,0.3,3,50,14
0.26323188881959353,2,6,cd,5,0.3,3,50,17
0.2684009021113054,2,6,cd,5,0.3,3,50,20
0.269170386643431,2,6,cd,5,0.3,3,50,24
0.26819468245393224,2,6,cd,5,0.3,3,50,32
0.2697955035082543,2,6,cd,5,0.3,3,50,33
0.26705071282801024,2,6,cd,5,0.3,3,50,36
0.2672811919655169,2,6,cd,5,0.3,3,50,43
0.2642538698588578,2,6,cd,5,0.3,3,50,44
0.26432929414364237,2,6,cd,5,0.3,3,50,46
0.2681781445057731,2,6,cd,5,0.3,3,50,48
0.2695087995565014,2,6,cd,5,0.3,3,50,49
0.26822183766824415,2,6,cd,5,0.5,2,30,4
0.26877017155914273,2,6,cd,5,0.5,2,30,10
0.26522146760398885,2,6,cd,5,0.5,2,30,15
0.2643005769878739,2,6,cd,5,0.5,2,30,49
0.26902468260808704,2,6,cd,5,0.5,2,50,2
0.2690245211951379,2,6,cd,5,0.5,2,50,10
0.2656603362686573,2,6,cd,5,0.5,2,50,15
0.26817426641375686,2,6,cd,5,0.5,2,50,49
0.26960737307795923,2,6,cd,5,0.5,3,30,12
0.26798542298937417,2,6,cd,5,0.5,3,30,15
0.26540160312844174,2,6,cd,5,0.5,3,30,20
0.2697704086612395,2,6,cd,5,0.5,3,30,22
0.26613905384453634,2,6,cd,5,0.5,3,30,49
0.26870069561879223,2,6,cd,5,0.5,3,50,15
0.26808793644746237,2,6,cd,5,0.5,3,50,20
0.26905159110372917,2,6,cd,5,0.5,3,50,27
0.26576773486223715,2,6,cd,5,0.5,3,50,32
0.26945533364543617,2,6,cd,5,0.5,3,50,49
0.2665336426727018,2,7,cd,4,0.3,2,30,2
0.2637433096147457,2,7,cd,4,0.3,2,30,4
0.2645170598637975,2,7,cd,4,0.3,2,30,5
0.25658028340156624,2,7,cd,4,0.3,2,30,6
0.2693047368684232,2,7,cd,4,0.3,2,30,7
0.2692703037490444,2,7,cd,4,0.3,2,30,9
0.2617777773997983,2,7,cd,4,0.3,2,30,12
0.269395019952629,2,7,cd,4,0.3,2,30,13
0.266376184077233,2,7,cd,4,0.3,2,30,15
0.25493747136284695,2,7,cd,4,0.3,2,30,17
0.2693921812019491,2,7,cd,4,0.3,2,30,18
0.26528814838237846,2,7,cd,4,0.3,2,30,20
0.2602209937432402,2,7,cd,4,0.3,2,30,22
0.25782138901182083,2,7,cd,4,0.3,2,30,24
0.26253515897334123,2,7,cd,4,0.3,2,30,26
0.26775224422264526,2,7,cd,4,0.3,2,30,28
0.2663233285813549,2,7,cd,4,0.3,2,30,32
0.26969396561227793,2,7,cd,4,0.3,2,30,33
0.26321074245063913,2,7,cd,4,0.3,2,30,34
0.26580456278868736,2,7,cd,4,0.3,2,30,35
0.2617901669363751,2,7,cd,4,0.3,2,30,36
0.2624335567964072,2,7,cd,4,0.3,2,30,37
0.26064570035068724,2,7,cd,4,0.3,2,30,39
0.2622860395715961,2,7,cd,4,0.3,2,30,41
0.26980238854818506,2,7,cd,4,0.3,2,30,43
0.26839498093468683,2,7,cd,4,0.3,2,30,44
0.2663015473963414,2,7,cd,4,0.3,2,30,47
0.26214810045721293,2,7,cd,4,0.3,2,30,48
0.2644261048879161,2,7,cd,4,0.3,2,30,50
0.2684976162102006,2,7,cd,4,0.3,2,50,1
0.26401275921456513,2,7,cd,4,0.3,2,50,2
0.2684857896998066,2,7,cd,4,0.3,2,50,3
0.2631210137272046,2,7,cd,4,0.3,2,50,4
0.2573351885278712,2,7,cd,4,0.3,2,50,5
0.2593249703807359,2,7,cd,4,0.3,2,50,6
0.26053036315270045,2,7,cd,4,0.3,2,50,7
0.269073067756496,2,7,cd,4,0.3,2,50,8
0.2663652506894006,2,7,cd,4,0.3,2,50,12
0.26095882483583877,2,7,cd,4,0.3,2,50,13
0.26294821403284674,2,7,cd,4,0.3,2,50,14
0.2649906945371584,2,7,cd,4,0.3,2,50,15
0.25562727703340593,2,7,cd,4,0.3,2,50,17
0.26772458786928227,2,7,cd,4,0.3,2,50,18
0.25926730942907883,2,7,cd,4,0.3,2,50,20
0.269134630251878,2,7,cd,4,0.3,2,50,21
0.26187980017630397,2,7,cd,4,0.3,2,50,22
0.2614374262412778,2,7,cd,4,0.3,2,50,24
0.2571627611112129,2,7,cd,4,0.3,2,50,26
0.26391007731955285,2,7,cd,4,0.3,2,50,28
0.2645904278763568,2,7,cd,4,0.3,2,50,32
0.2673863404860771,2,7,cd,4,0.3,2,50,34
0.2661737314726908,2,7,cd,4,0.3,2,50,35
0.26014952227760324,2,7,cd,4,0.3,2,50,36
0.2608184823903103,2,7,cd,4,0.3,2,50,37
0.26096204102459614,2,7,cd,4,0.3,2,50,39
0.2662898517268976,2,7,cd,4,0.3,2,50,40
0.26406334229172057,2,7,cd,4,0.3,2,50,41
