,MAE,Model,Features
1592,0.2493423131825555,NMF->RF,All_features
37,0.24935140285416516,NMF->DT (MF),Theory_features
1415,0.24935501920164116,NMF->RF,All_features
3062,0.2493610741971785,NMF->RF,All_features
1169,0.2493643038978933,NMF->RF,All_features
1599,0.24936783356784936,NMF->RF,All_features
2284,0.2493744066489863,NMF->RF,All_features
419,0.24938363398508603,RF,All_features
1550,0.24939078553602895,NMF->RF,All_features
1649,0.24939370411947,NMF->RF,All_features
709,0.2494168119894555,NMF->DT (MF),All_features
3701,0.24941829056210826,NMF->RF,All_features
3194,0.2494209213034992,NMF->RF,All_features
3730,0.24943946320829055,NMF->RF,All_features
1671,0.2494630696107784,NMF->RF,All_features
3643,0.2494924175607529,NMF->RF,All_features
3310,0.24949847251553744,NMF->RF,All_features
3529,0.24951615653608145,NMF->RF,All_features
2313,0.24952379401862795,NMF->RF,All_features
276,0.2495437033329554,NMF->DT (MF),All_features
360,0.2495469669760848,RF,Theory_features
3308,0.24956088360053644,NMF->RF,All_features
229,0.2495731689921365,NMF->DT (MF),All_features
2146,0.24958399392435804,NMF->RF,All_features
695,0.24958871249995776,NMF->DT (MF),All_features
33,0.249592053815388,NMF->DT,All_features
1317,0.2496046620962034,NMF->RF,All_features
2385,0.2496144234280691,NMF->RF,All_features
3184,0.2496184348003451,NMF->RF,All_features
1601,0.24961907715498616,NMF->RF,All_features
3651,0.249625261305736,NMF->RF,All_features
3233,0.2496315237504049,NMF->RF,All_features
2447,0.24963658116490234,NMF->RF,All_features
3606,0.2496459810013203,NMF->RF,All_features
15,0.24966348238681654,NMF->DT,All_features
3616,0.24968042562318304,NMF->RF,All_features
2019,0.2496817070488383,NMF->RF,All_features
1890,0.2497463337069061,NMF->RF,All_features
2371,0.2497463872762161,NMF->RF,All_features
3741,0.2497485872722485,NMF->RF,All_features
3514,0.2497626694374797,NMF->RF,All_features
3444,0.24976586067174175,NMF->RF,All_features
764,0.2497796760537735,RF,All_features
2268,0.24980189102989125,NMF->RF,All_features
1607,0.2498026872586625,NMF->RF,All_features
3675,0.2498034992120991,NMF->RF,All_features
2380,0.2498217860577689,NMF->RF,All_features
1270,0.24982458797437415,NMF->RF,All_features
1210,0.24985505706153416,NMF->RF,All_features
2290,0.24985533540898566,NMF->RF,All_features
2312,0.2498571233248864,NMF->RF,All_features
955,0.2498595825306968,NMF->RF,All_features
2433,0.24986812185266435,NMF->RF,All_features
443,0.2498696515753808,RF,All_features
2044,0.2498850511484865,NMF->RF,All_features
3418,0.2498895889922239,NMF->RF,All_features
3589,0.2498999216026798,NMF->RF,All_features
560,0.2499089610810984,NMF->DT (MF),All_features
873,0.2499255386069006,RF,All_features
314,0.2499484858865497,RF,Theory_features
1133,0.24995854298273776,NMF->RF,All_features
792,0.24995976008285034,RF,Theory_features
840,0.24996705642060565,RF,All_features
368,0.24997204012300714,RF,All_features
3707,0.24998719237564615,NMF->RF,All_features
682,0.24998730764955904,RF,Theory_features
3099,0.2499991154750909,NMF->RF,All_features
2163,0.2500163722000502,NMF->RF,All_features
49,0.2500447349851046,NMF->DT (MF),All_features
3309,0.25005649855890794,NMF->RF,All_features
2292,0.2500721984182461,NMF->RF,All_features
0,0.25007639146567723,DT (MF),All_features
2857,0.2500861490839726,NMF->RF,All_features
3533,0.2500865699485908,NMF->RF,All_features
3208,0.2500932791899948,NMF->RF,All_features
3631,0.2501054862771219,NMF->RF,All_features
2209,0.25011618180561274,NMF->RF,All_features
3097,0.2501298268512306,NMF->RF,All_features
3180,0.2501405133339097,NMF->RF,All_features
3426,0.2501461111971669,NMF->RF,All_features
2286,0.25019561613095304,NMF->RF,All_features
3710,0.2502181174581506,NMF->RF,All_features
3626,0.25022297813797906,NMF->RF,All_features
1973,0.2502286541693308,NMF->RF,All_features
267,0.25023953061836257,NMF->DT (MF),All_features
1259,0.2502462767653368,NMF->RF,All_features
3482,0.25028692832347865,NMF->RF,All_features
3503,0.2502894985942435,NMF->RF,All_features
3401,0.2503181146219111,NMF->RF,All_features
328,0.2503413820078778,NMF->DT (MF),All_features
3177,0.2503602474073632,NMF->RF,All_features
488,0.2503644211619168,RF,All_features
1668,0.25038735885339425,NMF->RF,All_features
1130,0.2503941330279993,NMF->RF,All_features
1984,0.2503955869238797,NMF->RF,All_features
1365,0.2504010900239606,NMF->RF,All_features
3607,0.2504069198859378,NMF->RF,All_features
2443,0.25040766011158233,NMF->RF,All_features
3046,0.2504192022628407,NMF->RF,All_features
744,0.2504405622323509,RF,Theory_features
3414,0.25044654822239704,NMF->RF,All_features
3012,0.25046516437475913,NMF->RF,All_features
1857,0.25046860161958456,NMF->RF,All_features
2195,0.2504778910998969,NMF->RF,All_features
1558,0.2504828529096493,NMF->RF,All_features
1199,0.25048440630738045,NMF->RF,All_features
1956,0.2504845164722659,NMF->RF,All_features
