MAE,Model,Features,nmf__alpha,nmf__n_components,nmf__solver,dt__max_depth,dt__min_samples_split,dt__random_state,dt__max_features,rf__max_depth,rf__max_features,rf__min_samples_split,rf__n_estimators,rf__random_state,alpha,random_state,tol,max_depth,max_features,min_samples_split,n_estimators
0.2580268658425729,NMF->RF,All_features,1.0,7.0,cd,,,,,5.0,0.3,2.0,30.0,17.0,,,,,,,
0.2580277444583605,NMF->RF,All_features,1.0,7.0,cd,,,,,4.0,0.3,3.0,30.0,49.0,,,,,,,
0.25802997729730937,RF,All_features,,,,,,,,,,,,,,32.0,,4.0,0.5,3.0,60.0
0.25803082856852644,RF,Theory_features,,,,,,,,,,,,,,5.0,,5.0,0.3,3.0,60.0
0.2580354746992966,RF,All_features,,,,,,,,,,,,,,43.0,,3.0,0.5,2.0,60.0
0.2580359939786314,RF,All_features,,,,,,,,,,,,,,9.0,,4.0,0.5,3.0,60.0
0.2580364076893241,NMF->RF,All_features,1.0,6.0,cd,,,,,4.0,0.5,3.0,30.0,20.0,,,,,,,
0.2580367929455868,NMF->RF,All_features,1.0,7.0,cd,,,,,5.0,0.5,2.0,30.0,13.0,,,,,,,
0.25803758891222256,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.3,2.0,50.0,29.0,,,,,,,
0.2580387301556199,NMF->RF,All_features,1.0,7.0,cd,,,,,4.0,0.3,3.0,30.0,28.0,,,,,,,
0.2580395306317883,RF,All_features,,,,,,,,,,,,,,27.0,,3.0,0.3,2.0,50.0
0.25804511703410865,NMF->RF,All_features,1.0,7.0,cd,,,,,5.0,0.3,3.0,50.0,12.0,,,,,,,
0.2580467624492042,RF,All_features,,,,,,,,,,,,,,4.0,,5.0,0.3,3.0,60.0
0.2580471536206197,NMF->RF,All_features,2.0,5.0,cd,,,,,5.0,0.3,3.0,50.0,39.0,,,,,,,
0.2580490946769829,NMF->RF,All_features,1.0,7.0,cd,,,,,5.0,0.5,3.0,30.0,41.0,,,,,,,
0.2580492816187657,RF,All_features,,,,,,,,,,,,,,35.0,,4.0,0.3,3.0,50.0
0.2580514272310794,NMF->DT (MF),All_features,2.0,6.0,cd,6.0,3.0,16.0,0.5,,,,,,,,,,,,
0.258057586706102,NMF->DT (MF),All_features,1.0,6.0,cd,4.0,2.0,43.0,0.5,,,,,,,,,,,,
0.2580670801125331,NMF->RF,All_features,2.0,7.0,cd,,,,,5.0,0.5,2.0,50.0,42.0,,,,,,,
0.2580723774920319,NMF->RF,All_features,2.0,7.0,cd,,,,,5.0,0.5,3.0,50.0,12.0,,,,,,,
0.2580755268359405,NMF->RF,All_features,2.0,5.0,cd,,,,,4.0,0.3,3.0,50.0,4.0,,,,,,,
0.2580786747907369,NMF->RF,All_features,2.0,5.0,cd,,,,,4.0,0.3,3.0,50.0,6.0,,,,,,,
0.2580852650783454,NMF->RF,All_features,2.0,5.0,cd,,,,,4.0,0.5,2.0,30.0,29.0,,,,,,,
0.25808650518955606,RF,All_features,,,,,,,,,,,,,,2.0,,4.0,0.3,3.0,50.0
0.2580901795081412,NMF->RF,All_features,2.0,5.0,cd,,,,,5.0,0.5,3.0,30.0,43.0,,,,,,,
0.25809293476390865,NMF->RF,All_features,2.0,5.0,cd,,,,,4.0,0.5,2.0,50.0,13.0,,,,,,,
0.2580943189323065,NMF->DT (MF),All_features,1.0,5.0,cd,4.0,4.0,48.0,0.3,,,,,,,,,,,,
0.2580948722021061,NMF->DT (MF),All_features,2.0,6.0,cd,5.0,4.0,10.0,0.7,,,,,,,,,,,,
0.2580949946913144,NMF->RF,All_features,2.0,5.0,cd,,,,,4.0,0.5,3.0,30.0,16.0,,,,,,,
0.2580949996761389,NMF->RF,All_features,2.0,5.0,cd,,,,,5.0,0.5,2.0,30.0,47.0,,,,,,,
0.2580967886280308,NMF->RF,All_features,1.0,7.0,cd,,,,,5.0,0.5,2.0,50.0,8.0,,,,,,,
0.2580976979438409,NMF->RF,Theory_features,1.0,6.0,cd,,,,,4.0,0.3,3.0,30.0,28.0,,,,,,,
0.25809867565857675,NMF->DT (MF),All_features,2.0,6.0,cd,4.0,4.0,2.0,0.7,,,,,,,,,,,,
0.2581011586933629,NMF->RF,All_features,1.0,6.0,cd,,,,,4.0,0.5,2.0,50.0,27.0,,,,,,,
