,dt__max_depth,dt__max_features,dt__min_samples_split,dt__random_state,nmf__alpha,nmf__n_components,nmf__solver
0.2653126023471109,5,0.3,4,33,2.0,7,cd
0.2672681005568857,5,0.3,4,34,1.0,7,cd
0.26257495589435287,5,0.3,4,35,1.0,7,cd
0.2452880774878792,5,0.3,4,41,1.0,6,cd
0.26853708374958374,5,0.3,4,47,2.0,5,cd
0.2698240384164275,5,0.3,4,48,1.0,5,cd
0.26905588554305804,5,0.3,4,49,1.0,5,cd
0.2685710767835522,5,0.3,4,49,2.0,5,cd
0.2507246695647956,5,0.3,4,50,1.0,5,cd
0.2693122029891813,5,0.5,2,4,0.5,5,cd
0.261382815333384,5,0.5,2,4,0.5,7,cd
0.2589708714545876,5,0.5,2,8,2.0,6,cd
0.2688716919882711,5,0.5,2,9,2.0,6,cd
0.2673990269641574,5,0.5,2,10,1.0,6,cd
0.2657505562429942,5,0.5,2,13,2.0,5,cd
0.2567489517127061,5,0.5,2,17,2.0,6,cd
0.2463062524549956,5,0.5,2,18,2.0,6,cd
0.2653060428075715,5,0.5,2,19,1.0,5,cd
0.26589044534631656,5,0.5,2,26,1.0,6,cd
0.2599028968138546,5,0.5,2,27,1.0,7,cd
0.23569188485158007,5,0.5,2,28,2.0,6,cd
0.2581813350638482,5,0.5,2,29,1.0,7,cd
0.24929432861890868,5,0.5,2,33,2.0,5,cd
0.25646209587974705,5,0.5,2,35,1.0,6,cd
0.2645947377128028,5,0.5,2,36,2.0,6,cd
0.25051335199129426,5,0.5,2,36,2.0,7,cd
0.23643509836435342,5,0.5,2,38,2.0,6,cd
0.25053850142060763,5,0.5,2,44,1.0,7,cd
0.2631170942904427,5,0.5,2,47,2.0,5,cd
0.26260361531339776,5,0.5,2,48,2.0,5,cd
0.2693669398784809,5,0.5,3,5,0.5,5,cd
0.26826457204793336,5,0.5,3,6,2.0,5,cd
0.25971274337443506,5,0.5,3,10,2.0,6,cd
0.25814843702233686,5,0.5,3,16,1.0,6,cd
0.2546514903422825,5,0.5,3,17,2.0,6,cd
0.26727140362048074,5,0.5,3,24,0.5,5,cd
0.26265786526696955,5,0.5,3,26,1.0,6,cd
0.26929906652591185,5,0.5,3,28,2.0,6,cd
0.2657050630754081,5,0.5,3,30,1.0,6,cd
0.26009039623230146,5,0.5,3,33,1.0,7,cd
0.2529712636029485,5,0.5,3,33,2.0,5,cd
0.2571199878147799,5,0.5,3,35,1.0,6,cd
0.24765790051024758,5,0.5,3,35,2.0,6,cd
0.2636255644967965,5,0.5,3,38,1.0,6,cd
0.2422300338150227,5,0.5,3,38,2.0,6,cd
0.2507339568820367,5,0.5,3,42,1.0,6,cd
0.2653679167630737,5,0.5,3,42,2.0,6,cd
0.2650545488277296,5,0.5,3,44,2.0,5,cd
